ticker,cik,sector,period_end,form,filed,revenue,gross_profit,operating_income,pretax_income,income_tax,net_income,eps_diluted,operating_cash_flow,capex,stock_comp,d_and_a,interest_expense,dividends_paid,buybacks,cash,total_debt,lt_debt_noncurrent,debt_current,total_assets,total_equity,shares_diluted,shares_outstanding
A,1090872,Health Care,2025-04-30,10-Q,2026-06-01,,,300000000,260000000,45000000,215000000,0.75,,,,,29000000,70000000,,1486000000,3349000000,,,12158000000,6136000000,285000000,
A,1090872,Health Care,2025-05-23,10-Q,2025-06-02,,,,,,,,,,,,,,,,,,,,,,284064728
A,1090872,Health Care,2025-07-31,10-Q,2026-09-01,,,360000000,366000000,30000000,336000000,1.18,,,,,28000000,71000000,,1535000000,3350000000,,,12226000000,6370000000,285000000,
A,1090872,Health Care,2025-08-21,10-Q,2025-08-29,,,,,,,,,,,,,,,,,,,,,,283500427
A,1090872,Health Care,2025-10-31,10-K (Q4 derived: FY − 9M YTD),2025-12-22,,,443000000,442000000,8000000,434000000,1.5200000000000005,545000000,93000000,26000000,71000000,27000000,70000000,85000000,1789000000,3050000000,,,12727000000,6741000000,0,
A,1090872,Health Care,2025-12-10,10-K,2025-12-22,,,,,,,,,,,,,,,,,,,,,,283498871
A,1090872,Health Care,2026-01-31,10-Q,2026-03-03,,,353000000,364000000,59000000,305000000,1.07,268000000,93000000,41000000,67000000,25000000,72000000,152000000,1758000000,3050000000,,,12813000000,6908000000,284000000,
A,1090872,Health Care,2026-02-25,10-Q,2026-03-03,,,,,,,,,,,,,,,,,,,,,,282602317
A,1090872,Health Care,2026-04-30,10-Q,2026-06-01,,,399000000,408000000,69000000,339000000,1.2,,,,,25000000,72000000,,1807000000,3051000000,,,13065000000,7122000000,283000000,
A,1090872,Health Care,2026-05-27,10-Q,2026-06-01,,,,,,,,,,,,,,,,,,,,,,282431944
A,1090872,Health Care,2026-07-31,10-Q,2026-09-01,,,444000000,444000000,82000000,362000000,1.28,,,,,29000000,72000000,,1758000000,3645000000,,,13967000000,7363000000,283000000,
A,1090872,Health Care,2026-08-26,10-Q,2026-09-01,,,,,,,,,,,,,,,,,,,,,,281928854
AAPL,320193,Information Technology,2025-03-29,10-Q,2026-05-01,,44867000000,29589000000,29310000000,4530000000,24780000000,1.65,,,,,,,,28162000000,92200000000,78566000000,13638000000,331233000000,66796000000,15056133000,
AAPL,320193,Information Technology,2025-04-18,10-Q,2025-05-02,,,,,,,,,,,,,,,,,,,,,,14935826000
AAPL,320193,Information Technology,2025-06-28,10-Q,2026-07-31,,43718000000,28202000000,28031000000,4597000000,23434000000,1.57,,,,,,,,36269000000,91800000000,82430000000,9345000000,331495000000,65830000000,14948179000,
AAPL,320193,Information Technology,2025-07-18,10-Q,2025-08-01,,,,,,,,,,,,,,,,,,,,,,14840390000
AAPL,320193,Information Technology,2025-09-27,10-K (Q4 derived: FY − 9M YTD),2025-10-31,,48341000000,32427000000,32804000000,5338000000,27466000000,1.8399999999999999,29728000000,3242000000,3183000000,3127000000,,,20132000000,35934000000,90700000000,78328000000,12350000000,359241000000,73733000000,-47029000,
AAPL,320193,Information Technology,2025-10-17,10-K,2025-10-31,,,,,,,,,,,,,,,,,,,,,,14776353000
AAPL,320193,Information Technology,2025-12-27,10-Q,2026-01-30,,69231000000,50852000000,51002000000,8905000000,42097000000,2.84,53925000000,2373000000,3594000000,3214000000,,,24701000000,45317000000,88500000000,76685000000,11827000000,379297000000,88190000000,14810356000,
AAPL,320193,Information Technology,2026-01-16,10-Q,2026-01-30,,,,,,,,,,,,,,,,,,,,,,14681140000
AAPL,320193,Information Technology,2026-03-28,10-Q,2026-05-01,,54781000000,35885000000,35833000000,6255000000,29578000000,2.01,,,,,,,,45572000000,82700000000,74404000000,8310000000,371082000000,106491000000,14725873000,
AAPL,320193,Information Technology,2026-04-17,10-Q,2026-05-01,,,,,,,,,,,,,,,,,,,,,,14687356000
AAPL,320193,Information Technology,2026-06-27,10-Q,2026-07-31,,54770000000,35695000000,36267000000,6478000000,29789000000,2.02,,,,,,,,39544000000,82300000000,71340000000,11007000000,383266000000,107520000000,14714676000,
AAPL,320193,Information Technology,2026-07-17,10-Q,2026-07-31,,,,,,,,,,,,,,,,,,,,,,14594180000
ABBV,1551152,Health Care,2025-03-31,10-Q,2026-05-08,13343000000,,3733000000,1661000000,372000000,1286000000,0.72,1635000000,235000000,410000000,181000000,700000000,2925000000,961000000,5175000000,,,3769000000,136165000000,1420000000,1772000000,
ABBV,1551152,Health Care,2025-04-30,10-Q,2025-05-09,,,,,,,,,,,,,,,,,,,,,,1766403027
ABBV,1551152,Health Care,2025-06-30,10-Q,2026-08-03,15423000000,,4894000000,1554000000,613000000,938000000,0.52,,,,186000000,740000000,,,6467000000,,,1966000000,137182000000,-183000000,1771000000,
ABBV,1551152,Health Care,2025-07-29,10-Q,2025-08-04,,,,,,,,,,,,,,,,,,,,,,1766558253
ABBV,1551152,Health Care,2025-09-30,10-Q,2025-11-04,15776000000,,1904000000,714000000,526000000,186000000,0.1,,,,192000000,739000000,,,5629000000,,,1982000000,133898000000,-2642000000,1772000000,
ABBV,1551152,Health Care,2025-10-27,10-Q,2025-11-04,,,,,,,,,,,,,,,,,,,,,,1767384632
ABBV,1551152,Health Care,2025-12-31,10-K,2026-02-20,16618000000,12066000000,4544000000,2668000000,853000000,1816000000,1.02,5218000000,329000000,157000000,203000000,714000000,2911000000,3000000,5229000000,64503000000,,6056000000,133960000000,-3270000000,1000000,
ABBV,1551152,Health Care,2026-02-10,10-K,2026-02-20,,,,,,,,,,,,,,,,,,,,,,1768169012
ABBV,1551152,Health Care,2026-03-31,10-Q,2026-05-08,15002000000,,3990000000,1039000000,342000000,695000000,0.39,3829000000,265000000,444000000,188000000,717000000,3086000000,1489000000,9391000000,,,8326000000,136463000000,-6656000000,1774000000,
ABBV,1551152,Health Care,2026-04-28,10-Q,2026-05-08,,,,,,,,,,,,,,,,,,,,,,1766792821
ABBV,1551152,Health Care,2026-06-30,10-Q,2026-08-03,16990000000,,6432000000,4278000000,662000000,3613000000,2.03,,,,194000000,746000000,,,6569000000,,,8341000000,135115000000,-5935000000,1771000000,
